name,country_code,region,city,industry,employee_range,employee_count_est,company_age_years,founded_year,ipo_status,is_active,is_for_profit,cb_rank,has_funding,funding_total_usd,num_funding_rounds,last_funding_type,last_funding_year,fin_num_investors,it_spend_usd,active_tech_count,builtwith_num_technologies_used,semrush_visits_latest_month,monthly_visits_growth,num_contacts,num_employee_profiles,num_news,num_investors,num_acquisitions,num_current_positions,website,contact_email,contact_phone,active_hiring,recent_funding_event,web_visits_30d,email_engagement_score,crm_completeness_pct,days_since_last_contact,reply_rate_pct,deal_potential_usd,intent_score,last_contact_channel,lead_score,converted
Consolety,NL,EU,Amsterdam,SEO,1-10,5.0,6.0,2018.0,private,1,1,1347386.0,0,0,0,none,,0,195183.5,9.0,9.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,https://consolety.net,con███t@c███ole█████████,+31███618███,0,0,1734,13.5,42.5,55,3.65,14732,35.9,LinkedIn,26.52,0
Winder Research,GB,EU,Harrogate,Unknown,Unknown,30.0,14.0,,private,1,1,1830690.0,0,0,0,none,,0,195183.5,7.0,7.0,1587.5,-0.120360248,5.0,1,3.0,1.0,1.0,1.0,https://winderresearch.com/,web███nde███sea█████████,,1,0,1619,30.8,35.0,30,9.48,25346,63.2,,45.38,1
Wiring Technologies,US,Unknown,Altamonte Springs,Telecommunications,51-100,75.0,30.0,1994.0,private,1,1,620046.0,0,0,0,none,,0,1638524.0,1.0,1.0,276.0,-0.120360248,35.0,0,3.0,1.0,1.0,1.0,https://wiringtech.com/,tay███j@w███ngt█████████,+1 ███-86███290███,1,0,284,30.1,70.2,356,6.38,128248,36.7,Email,41.76,0
Amerisk Engineering,US,Unknown,Murrieta,Facility Management,11-50,30.0,28.0,1996.0,private,1,1,2299740.0,0,0,0,none,,0,131477.0,7.0,7.0,1587.5,-0.120360248,2.0,0,3.0,1.0,1.0,1.0,https://ameriskengineering.com,al@███ris███gin█████████t,+1 ███ 60███475███,0,0,1627,24.8,25.0,58,4.39,23003,42.4,,27.02,0
Styloosh,Unknown,Unknown,Unknown,E-Commerce,Unknown,30.0,10.0,2014.0,private,1,1,3099462.0,1,0,1,series_unknown,2014.0,1,171671.0,7.0,7.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,,,,1,1,1597,42.3,43.3,352,24.87,34886,70.7,LinkedIn,64.27,1
Study Crown Limited,NZ,OC,Auckland,Education,Unknown,30.0,8.0,2016.0,private,0,1,2482810.0,0,0,0,none,,0,195183.5,1.0,1.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,https://studycrown.com,,,0,0,1594,1.6,44.1,234,2.82,26190,26.6,Email,13.06,0
World of Wanderlust,AU,OC,Broadbeach,Blogging Platforms,1-10,5.0,12.0,2012.0,private,1,1,895570.0,0,0,0,none,,0,30586.0,18.0,18.0,79652.0,0.232221036,5.0,1,3.0,1.0,1.0,1.0,https://worldofwanderlust.com,sup███t@w███dof█████████t.c███,,0,0,79655,30.7,50.4,106,12.28,39204,32.7,Phone,32.49,0
Constantin Hang Machine Production,DE,EU,Göppingen,Industrial,11-50,30.0,14.0,,private,1,1,1917141.0,0,0,0,none,,0,87791.0,7.0,7.0,1587.5,-0.120360248,5.0,0,3.0,1.0,1.0,1.0,https://www.hang.de,inf███ang███,+49███161███050███,1,0,1588,37.9,51.8,190,14.73,20758,40.3,LinkedIn,40.64,0
Western Borders,US,Unknown,Seattle,Brand Marketing,1-10,5.0,14.0,,private,1,1,2861853.0,0,0,0,none,,0,51189.0,7.0,7.0,1587.5,-0.120360248,8.0,1,3.0,1.0,1.0,1.0,http://www.westernborders.com/,inf███est███bor█████████,+1-███-62███212███,0,0,1598,17.0,42.4,17,1.25,108535,16.0,Phone,23.74,0
winVS software AG,CH,EU,Baar,Computer,1-10,5.0,35.0,1989.0,private,1,1,2281886.0,0,0,0,none,,0,195183.5,20.0,20.0,72.0,1.022727273,5.0,0,3.0,1.0,1.0,1.0,http://www.winvs.ch/de/,inf███inv███h,41 ███470███,1,0,97,42.5,42.8,225,16.54,16253,51.1,Email,41.17,0
