employee_count_est,company_age_years,is_active,is_for_profit,cb_rank_log,has_funding,funding_total_usd,num_funding_rounds,active_tech_count,semrush_visits_latest_month,monthly_visits_growth,num_contacts,num_employee_profiles,num_news,num_investors,it_spend_usd,num_current_positions,has_news,news_count,active_hiring,recent_funding_event,web_visits_30d,email_engagement_score,crm_completeness_pct,days_since_last_contact,reply_rate_pct,deal_potential_usd,intent_score,lead_score,converted,country_code_enc,region_enc,industry_enc,employee_range_enc,ipo_status_enc,log_funding_total_usd,log_semrush_visits_latest_month,log_web_visits_30d,log_deal_potential_usd,log_it_spend_usd,log_num_contacts
5.0,6.0,1,1,14.113677719250784,0,0,0,9.0,1587.5,-0.120360248,5.0,0,3.0,1.0,195183.5,1.0,0,0,0,0,1734,13.5,42.5,55,3.65,14732,35.9,26.52,0,46,2,214,0,0,0.0,7.370545453709571,7.45876269238096,9.597845154707354,12.181700544070624,1.791759469228055
30.0,14.0,1,1,14.42020404917473,0,0,0,7.0,1587.5,-0.120360248,5.0,1,3.0,1.0,195183.5,1.0,0,0,1,0,1619,30.8,35.0,30,9.48,25346,63.2,45.38,1,21,2,223,9,0,0.0,7.370545453709571,7.390181428226429,10.140415658820954,12.181700544070624,1.791759469228055
75.0,30.0,1,1,13.337550560599723,0,0,0,1.0,276.0,-0.120360248,35.0,0,3.0,1.0,1638524.0,1.0,0,0,1,0,284,30.1,70.2,356,6.38,128248,36.7,41.76,0,65,5,218,8,0,0.0,5.6240175061873385,5.652489180268651,11.76172896573166,14.309307004862402,3.58351893845611
30.0,28.0,1,1,14.648307065862893,0,0,0,7.0,1587.5,-0.120360248,2.0,0,3.0,1.0,131477.0,1.0,0,0,0,0,1627,24.8,25.0,58,4.39,23003,42.4,27.02,0,65,5,129,4,0,0.0,7.370545453709571,7.395107546562485,10.043423392833644,11.786594816223458,1.0986122886681098
30.0,10.0,1,1,14.9467394286436,1,0,1,7.0,1587.5,-0.120360248,5.0,0,3.0,1.0,171671.0,1.0,1,1,1,1,1597,42.3,43.3,352,24.87,34886,70.7,64.27,1,66,5,109,9,0,0.0,7.370545453709571,7.37650812632622,10.459869545961151,12.05334095845633,1.791759469228055
30.0,8.0,0,1,14.724901943993537,0,0,0,1.0,1587.5,-0.120360248,5.0,0,3.0,1.0,195183.5,1.0,0,0,0,0,1594,1.6,44.1,234,2.82,26190,26.6,13.06,0,48,3,113,9,0,0.0,7.370545453709571,7.374629015218945,10.173171119285234,12.181700544070624,1.791759469228055
5.0,12.0,1,1,13.705216782655455,0,0,0,18.0,79652.0,0.232221036,5.0,1,3.0,1.0,30586.0,1.0,0,0,0,0,79655,30.7,50.4,106,12.28,39204,32.7,32.49,0,3,3,39,0,0,0.0,11.285434979412322,11.28547264206792,10.576559568665022,10.32833036107053,1.791759469228055
30.0,14.0,1,1,14.466346093358506,0,0,0,7.0,1587.5,-0.120360248,5.0,0,3.0,1.0,87791.0,1.0,0,0,1,0,1588,37.9,51.8,190,14.73,20758,40.3,40.64,0,13,2,165,4,0,0.0,7.370545453709571,7.370860166536716,9.940735166562794,11.382725659298757,1.791759469228055
5.0,14.0,1,1,14.866980224519883,0,0,0,7.0,1587.5,-0.120360248,8.0,1,3.0,1.0,51189.0,1.0,0,0,0,0,1598,17.0,42.4,17,1.25,108535,16.0,23.74,0,65,5,41,0,0,0.0,7.370545453709571,7.377133712833954,11.594837194165144,10.843299479451629,2.19722457733622
5.0,35.0,1,1,14.640513290211407,0,0,0,20.0,72.0,1.022727273,5.0,0,3.0,1.0,195183.5,1.0,0,0,1,0,97,42.5,42.8,225,16.54,16253,51.1,41.17,0,8,2,74,0,0,0.0,4.290459441148391,4.584967478670572,9.69609431131315,12.181700544070624,1.791759469228055
